Previous_Semester_GPA,Midterm_Score_Average,Assignment_Score_Average,Twelfth_Grade_Percentage,Study_Hours_Per_Day,Tenth_Grade_Percentage,Attendance_Percentage,Number_of_Backlogs,Mental_Stress_Score,Distance_From_Campus_KM,CGPA
6.17,55.55,65.85,90.12,1.46,87.47,96.76,1,8,4.17,5.91
6.06,56.7,55.61,85.6,3.57,91.52,75.59,0,5,9.65,5.77
8.48,72.36,80.61,94.23,6.42,84.9,85.31,1,8,18.82,7.49
9.13,79.78,79.24,92.58,5.69,77.65,81.89,0,4,0.36,8.2
7.41,73.69,76.47,92.11,6.12,95.58,97.77,0,8,17.04,7.01
8.7,76.25,74.39,88.78,2.09,78.32,88.19,0,7,0.65,7.35
7.93,62.99,70.43,90.38,2.06,91.79,82.01,0,1,1.75,7.07
6.73,68.45,68.1,94.08,6.77,88.16,76.63,0,9,25.36,6.24
7.93,80.03,82.95,100,6.15,99.81,100,0,3,13.22,7.64
9.35,84.09,86.41,95.2,3.98,100,84.24,0,4,1.65,8.56
7.46,80.32,68.28,74.28,6.21,83.46,82.74,0,3,11.04,7.04
9.38,80.4,72.47,85.21,2.09,78.56,89.99,1,5,4.74,7.68
4.36,37.67,46.33,80.83,2.01,89.13,92.19,0,7,3.88,4.45
8.49,73.98,71.99,85.89,1.27,88.28,71,0,10,0.63,7.13
7.6,71.14,76.82,84.95,5.22,92.9,83.1,0,2,6.81,6.99
7.14,63.97,68.36,84.66,4.93,81.93,74.28,0,8,0.99,6.54
7.61,67.22,74.82,90.42,3.46,81.95,79.35,0,3,2.16,6.87
5.11,51.31,55.81,85.44,2.94,87.25,97.73,0,5,0.1,5.55
7.24,80.13,83.48,93.37,9.33,90.41,96.53,2,4,2.67,7.12
7.93,74.21,73,83.16,3.98,78.92,90.89,0,1,4.28,7.21
9.27,90.72,79.5,78.51,7.28,87,70.95,2,7,2.38,7.82
6.88,66.91,68.96,85.44,4.21,87.37,86.87,0,5,11.79,6.47
6.53,49.9,69.72,81.29,3.5,93.26,79.24,0,6,8.02,5.67
6.9,76.14,70.77,95.08,7.33,87.34,94.92,4,5,6.02,6.45
8.6,76.65,76.41,92.8,6.08,97.27,79.37,0,1,2.08,7.74
7.89,80.06,69.09,96.56,4.45,93.25,76.72,1,1,7.87,7.17
6.86,72.75,71.86,77.28,6.77,73.78,88.61,0,7,10.91,6.65
8.12,84.49,86.88,71.74,9.54,86.14,97.14,0,3,2.1,8.15
7.62,73.87,74.08,100,3.04,97.28,95.68,0,9,0.5,7.36
8.66,81.03,82.78,75.71,5.44,80.56,97.99,0,2,1.75,8.08
6.66,60.43,74.37,93.23,3.68,90.16,98.08,2,1,4.23,6.38
7.11,70.52,68.21,92.12,2.63,91.01,100,0,7,0.12,6.91
7.03,63.4,70.89,86.24,2.58,89.14,86.81,0,5,9.4,6.67
5.74,66.19,64.25,83.89,7.68,84.95,80.55,0,2,3.38,6.15
7.86,74.17,66.39,77.16,0.85,88.39,76.74,0,8,9.92,6.64
7.81,83.78,81.4,96.71,5.52,83.5,96.95,0,3,0.65,7.76
7.51,67.07,72.43,92.63,2.85,82.24,83.27,0,5,0.68,6.95
7.22,76.61,73.64,100,8.04,95.4,75.9,3,10,0.24,6.32
5.8,62.39,59.52,85.04,3.95,85.56,90.23,1,5,2.15,5.55
7,62.35,69.73,85.52,3.77,100,70.53,1,3,11.47,6.09
7.09,74.43,66.24,75.71,7.64,76.33,74.2,0,4,6.85,6.79
6.54,77.3,64.92,91.97,6.25,89.01,87.17,0,2,13.56,6.82
7.31,76.18,74.43,66.3,5.61,81.5,93.82,0,2,2.73,7.06
7.98,81.11,77.44,70.13,6.11,94.19,81.69,0,4,1,7.41
9.76,84.68,81.03,87.96,2.33,78.88,82.67,0,7,45.15,8.29
7.71,76.02,78.35,90.47,5.98,96.98,92.87,0,10,0.69,6.96
7.81,77.66,72.81,80.43,4.1,93.94,93.29,0,4,7.76,7.09
7.41,60.33,69.35,75.73,5.22,79.6,64.25,0,3,3.95,6.59
5.2,57.24,58.97,86.31,5.47,85.17,99.83,1,10,3.88,5.63
7.47,72.43,70.76,79.58,2.28,91.59,81.73,0,2,11.62,6.82
7.57,74.29,75.92,79.35,5.69,95.63,77.53,1,7,0.31,7.2
10,75.11,84.16,90.49,4.13,92.79,80.32,0,3,7.63,8.17
7.27,59.01,62.12,100,2.02,86.24,71.35,0,3,2.06,6.37
7.86,72.34,82.98,80.39,4.21,100,100,0,10,4.92,7.2
7.46,61.71,70.33,86.05,4.54,97.55,71.95,0,7,9.68,6.83
6.1,70.05,63.06,86.86,5.69,80.38,70.01,2,5,15.74,5.69
8.87,78.39,66.79,77.84,0.5,88.31,82.38,0,8,30.25,7.49
8.4,74.23,73.24,83.95,5.28,100,71.2,0,4,31.46,7.6
8.45,70.61,72.5,84.38,3.48,91.24,86.22,0,6,1.5,7.18
6.41,68.38,60.52,83.77,6.12,88.24,100,0,3,4.74,6.13
9.18,80.89,80.54,80.83,4.5,84.79,86.65,0,8,2.73,8.19
5.82,65.22,68.45,88.38,3.83,79.26,88.39,0,3,6.03,6.04
8.2,72.49,72.58,84.91,4.14,87.37,82.09,1,8,23.91,6.87
10,84.12,91.39,65.65,5.17,86.91,74.59,0,10,0.44,8.34
6.31,77,61.59,100,6.32,76.08,82.08,0,7,1.73,6.67
6.82,64.54,66.96,77.31,2.72,81.07,95.55,1,1,2.64,6.22
7.62,66.08,65.1,75.44,3.81,95.62,98.58,0,7,19.68,6.69
6.9,63.24,68.88,65.99,7.44,78.49,85.42,0,2,1.13,6.9
5.64,63.99,57.52,100,3.78,86.45,93.77,2,10,6.55,5.89
7.58,75.63,70.5,77,5.23,91.71,77.25,1,1,5.1,6.83
6.23,56.09,59.27,68.78,2.03,92.16,78.85,0,6,12.89,5.88
8.07,72.65,63.98,80.67,1.07,100,69,0,3,1.04,6.95
6.4,65.74,65.17,91.54,2.42,85.47,96.09,0,7,11.06,6.18
9.36,72.03,72.34,81.53,3.12,88.14,79.24,0,7,13.28,7.75
6.56,73.4,70.51,68.8,6.58,100,71.72,1,7,24.73,6.69
7.11,68.94,77.6,83.59,6.8,82.91,90.01,3,3,0.13,6.5
8.48,70.26,74.28,77.65,0.65,87.81,98.43,1,9,2.54,7.56
6.02,56.5,60.47,91.79,3.42,88.94,81.29,0,4,3.35,5.82
7.77,67.54,72.16,83.08,5.9,86.89,67.29,0,6,5.98,6.83
9.07,83.16,77.66,89.41,4.29,95.95,81.76,1,4,0.41,7.66
5.57,68.45,64.05,93.97,7.51,68.9,87.39,1,10,1.88,6.11
7.72,77.63,83.11,86.91,5.85,84.21,90.95,0,8,0.18,7.28
7.81,69.37,69.47,87.42,3.96,93.72,92.77,0,1,12.81,7.28
8.44,69.99,73.71,89.99,4.14,80.77,85.76,0,9,0.15,7.81
6.02,55.52,57.19,88.18,4.39,81.54,82.41,0,9,5.36,5.51
5.92,69.31,57.49,75.74,2.81,84.84,91.86,0,1,0.44,6.26
8.13,75.02,79.84,73.15,6.38,99.78,71.77,1,4,9.58,7.26
7.86,72.59,73.03,100,5.98,89.76,75.31,1,4,6.44,7.19
7.8,74.43,72.57,100,5.41,86.84,77.73,0,5,4.26,7.28
7.92,67.64,77.26,70.36,4.99,78.7,80.58,0,1,11.67,7.15
6.68,56.59,57.48,80.15,2.46,89.68,71.17,0,5,14.69,5.83
7.78,80.44,70.2,88.67,5.51,76.86,94.72,0,1,19.65,7.75
7.85,63.9,76.88,88.34,4.76,70.83,72.88,0,5,7.63,6.86
6.64,62.16,75.16,88.4,8.5,84.72,58.12,0,7,31.04,6.28
9.74,74.75,79.09,77.06,1.91,69.15,94.87,0,6,5.48,7.81
8.07,74.84,73.92,82.78,3.05,85.68,90.16,4,9,2.65,6.94
6.07,52.29,64.28,96.14,1.33,96.88,84.39,0,3,11.04,5.36
8.29,68.13,70.8,86.88,4.06,100,89.68,0,3,2.72,7.24
6.33,53.81,64.12,81.63,1.02,94.94,86.09,0,8,48.07,5.74
8.44,77.64,85.04,76.89,6.87,96.01,96.64,0,8,7.73,7.62
8.89,84.69,80.14,94.11,6.68,85.41,77.32,1,8,2.65,7.8
6.52,64.87,67.87,87.34,4.18,81.98,100,0,3,7.09,6.58
8.66,79.7,79.78,82.68,2.47,91.97,94.48,0,1,17.81,7.33
8,73.3,63.11,90.97,1.45,94.37,78.94,1,6,14.52,6.54
8.49,73.56,75.37,84.97,3.09,91.22,77.34,1,2,0.61,7.22
9.78,82.75,84.48,69.6,5.75,87.98,86.46,0,10,4.25,8.31
7.21,63.48,64.14,91.74,2.93,77.68,73.76,1,7,3.42,6.61
6.6,68.45,72.86,100,8.32,71.91,82.95,0,7,14.21,6.61
6.43,64.61,71.61,74.89,7.48,88.21,98.46,0,9,19.55,6.28
6.52,62.43,62.65,89.75,4.5,97.81,86.82,0,9,20.35,5.88
7.41,70.62,74.46,80.66,3.58,79,100,0,3,12.55,7.11
7.91,63.44,77.08,97.49,3.36,90.9,77.3,2,10,9.32,6.75
7.83,77.62,78.01,87.35,7.7,92.09,89.52,1,3,7.13,6.96
8.49,70.1,69.18,92.98,3.19,91.25,79.68,0,1,0.81,7.44
7.52,73.04,74.28,69.79,6.37,80.3,82.93,0,2,7.66,7.04
9.24,75.09,80.62,82.23,4.54,74.23,90,2,3,5.91,7.83
7.18,65.94,72.68,71.19,5.93,80.44,77.66,0,3,1.85,6.84
10,87.76,83.18,81.65,2.86,88.87,76.38,0,9,11.59,8.64
8.25,77.66,77.94,88.19,3.83,82.12,80.34,1,7,5.7,7.33
6.47,53.55,62.15,90.15,4.45,86.37,79.62,0,9,6.43,6.15
6.21,58.42,59.61,86.68,3.24,86,74.9,0,2,1.8,6.06
8.08,79.2,85.57,90.38,7,85.28,99.45,0,6,0.58,7.98
7.23,74.53,64.94,81.55,2.97,89.26,81.96,1,7,7.09,6.81
8.36,71.52,72.5,73.74,3.35,80.06,93.3,1,9,9.24,7.22
8.07,82.44,88.12,87.29,7.22,92.57,92.58,0,2,9.1,7.84
7.41,78.35,69.77,85.02,6.83,80.05,95.25,5,4,5.77,6.48
6.48,60.93,74.88,100,7.68,89.62,71.64,0,8,5.16,6.27
5.68,47.55,48.48,96.46,0.68,83.29,81.51,0,9,4.63,5.22
6.96,65.15,67.55,96.65,4.9,82.71,91.87,0,8,4.15,6.42
8.53,82.78,76.79,80.48,4.68,87.48,78.85,0,1,9.82,7.78
7.76,73.9,71.61,86.19,3.38,86.21,99.88,0,3,7.05,7.39
6.01,58.74,57.06,89.37,5.15,89.53,72.72,0,10,3.72,6.09
7.71,67.47,62.91,76.97,3.86,90.54,93.2,0,2,1.16,6.98
7.96,76.43,74.29,75.77,4.82,72.17,80.54,0,10,0.91,7.24
6.44,75.11,71.27,79.22,11.3,90.96,95.51,0,3,0.87,6.66
7.68,66.97,67.64,78.85,5.13,91,87.7,0,6,6.89,6.98
7.57,76.26,75.69,90.71,5.22,88.1,76.55,0,5,10.5,6.89
6.13,75.16,67.41,89.01,6.14,94.12,93.2,0,3,0.04,6.58
7.93,66.58,75.68,85.59,4.86,90.62,67.72,0,3,2.95,6.91
8.17,66.4,74.72,87.07,2.3,77.93,81.52,0,5,8.5,7.19
8.8,74.84,79.82,85.11,1.21,100,80.44,2,3,3.72,7.47
8.76,79.54,85.51,82.67,4.44,91.55,89.32,4,1,3.41,7.51
5.85,49,55.4,82.29,3.96,77.75,58.12,0,6,4.78,5.34
6.37,57.21,58.16,69.56,0.57,83.43,87.33,0,8,12.17,5.66
8.12,81.08,80.16,83.51,7.76,84.09,88.73,0,9,0.29,7.79
8.12,69.5,76.67,82.64,4.71,91.42,77.06,0,1,0.63,7.29
8.12,76.39,78.66,79.89,7.38,94.32,81.96,0,4,12.59,7.6
10,76.26,71.29,80.37,0.5,89.15,85.35,0,3,5.11,8.34
8.19,82.64,81.33,86.37,7.42,91.97,94.46,1,9,22.23,7.65
8.86,77.31,68.48,82.57,3.53,91.17,63.35,1,2,7.44,7.32
8.64,73.72,77.41,92.8,7.02,69.96,84.43,1,2,3.87,7.73
8.28,78.88,72.19,72.92,4.93,80.38,89.8,0,1,30.26,7.22
7.12,68.54,75.18,94.49,5.41,68.66,91.26,1,6,3.43,6.95
8.41,71.86,79.7,97.89,5.41,81.71,82.81,0,9,7.48,7.56
6.57,69.98,64.3,93.05,3.65,86.12,90.74,0,9,0.42,5.95
7.22,63.99,70.54,66.4,3.21,77.6,84.26,0,1,2.05,6.42
6.92,68.15,72.17,87.93,3.78,84.91,96.27,0,9,13.23,6.26
7.6,63.53,65.62,75.4,1.56,91.08,76.65,2,10,6.79,6.08
10,78.38,80.97,77.72,3.54,89.54,78.37,0,7,0.01,8.26
5.26,51.38,52.87,82.64,3.11,83.99,89.62,0,3,6.48,5.28
8.32,74.8,75.49,87.45,1.51,79.36,91.46,3,6,4.59,7.05
5.56,53.84,59.18,93.75,5.42,93.2,90.02,0,2,11.37,5.89
6.93,63.69,72.16,87.88,4.52,93.5,80.74,0,4,3.77,6.8
8.81,77.62,81.17,80.34,4.99,98.04,80.9,4,9,2.92,6.85
7.58,74.49,74.08,99.98,5.89,81.89,84.88,0,4,16.95,7.26
6.21,55.93,56.62,96,4.02,73.23,73.98,0,5,1.08,5.52
6.64,57.83,62.74,71.62,2.62,91.3,76.83,0,3,3.85,5.67
8.32,82.43,82.03,68.97,5.11,72.74,99.61,0,1,10.47,7.78
6.62,47.29,66.67,72.63,0.5,87.61,83.34,1,7,4.43,5.63
7.76,65.83,72.02,82.68,4.28,78.89,79.76,0,6,8.06,6.98
7.55,66.62,72.94,81.5,6.03,86.76,79.21,0,2,8.91,7.06
6.72,74.94,71.09,70.39,6.59,76.54,87.91,2,1,0.53,6.47
10,83.12,95.77,98.9,3.44,82.85,100,5,9,6.62,7.85
8.26,71.71,65.3,74.5,0.5,81.85,96.5,0,5,0.84,7.09
5.07,50.43,51,81.63,0.5,89.13,71.9,0,6,4.43,4.62
7.72,67.13,77.39,82.4,5.78,98.48,97.83,1,5,21.67,7.01
6.71,61.22,66.1,95.64,3.79,90.66,76.66,0,9,3.7,6.44
8.52,76.76,83.49,92.92,8.53,84.52,78.52,1,10,9.97,7.9
6.55,63.48,62.22,69.81,1.68,96.73,80.34,1,8,12.44,5.82
7.36,67.75,70.68,70.12,5.18,90.81,73.25,0,1,8.15,6.64
8.11,77.47,88.79,88.23,7.82,68.69,97.86,3,8,7.11,7.12
8.54,70.58,80.75,90.99,4.91,83.12,79.2,0,7,5.27,7.17
6.06,42.86,48.78,90.58,1.32,83.57,64.02,0,3,13.73,5.43
7.1,68.68,83.49,91.54,10.05,84.82,76.53,0,8,11.64,6.95
6.93,71.3,64.5,98.27,7.66,85.51,86.98,1,2,1.42,6.45
6.72,52.83,54.25,95.15,4.05,85.58,67.8,0,9,1.88,5.87
9.62,82.74,85.41,97.75,6.14,95.55,87.7,2,3,14.42,8.54
7.99,78.04,87.53,91.21,6.16,100,76.12,0,7,34.08,7.6
5.99,67.36,69.19,100,5.78,87.64,96.16,0,7,0.86,6.62
8.6,69.38,76.3,94.78,1.74,88.11,89.55,0,8,13.09,7.39
10,86.37,88.55,84.93,5.15,98.02,85.8,1,2,0.41,8.58
8.74,72.37,83.23,95.31,7.42,74.35,69.51,2,8,2.49,6.85
5.68,56.29,53.82,79.56,5.51,80.56,72.1,2,6,3.1,5.25
6.92,56.53,67.49,90.03,5.29,86.79,79.22,0,10,0.2,6.16
9.02,73.06,76.11,89.78,3.43,86.47,82.71,0,3,1.93,7.69
6.65,64.25,69.81,92.82,2.69,92.9,100,0,7,7.05,6.51
8.03,79.17,66.68,75.77,1.35,84.33,87.96,0,2,10.16,7
8.43,71.57,76.89,96.47,6.01,89.56,81.17,1,9,4.37,7.34
6.39,60.11,66.04,84.66,4.06,100,99.75,1,5,2.06,5.88
7.43,57.9,66.25,96.65,1.82,93.89,84.1,0,3,6.73,6.59
4,59.5,55.43,87.11,6.45,100,89.34,1,5,2.11,5.03
6.27,68.98,65.57,87.92,3.33,85.47,100,0,10,8.97,6.27
7.2,68.7,65.98,83.41,2.78,87.04,92.17,0,8,3.07,6.58
6,57.97,70.68,83.01,3.51,92.72,89.42,4,6,1.1,4.99
9.46,81.76,85.85,89.69,4.11,88.09,90.81,1,10,1.41,8.12
5.78,58.07,68.04,83.1,5.42,86.33,84.35,0,4,0.3,5.77
6.97,64.46,64.82,70.96,2.75,83,85.42,3,10,16.14,6.16
7.66,70.35,74.67,84.89,6.52,89.77,69.15,0,10,6.21,7.24
9.23,76.14,84.35,62.72,5.47,84.04,77.91,0,10,0.75,8.06
5.78,51.26,56.85,75.88,3.47,89.4,84.51,0,4,11.27,5.29
8.9,77.59,80.32,77,4.18,82.98,89.63,0,10,5.98,8
7.51,68.28,65.86,91.21,3.65,92.9,80.66,0,3,2.43,6.74
6.32,62.43,73.43,100,4.63,82.53,100,0,5,2.16,6.58
8.05,85.73,85.02,81.95,7.54,83.4,92.86,0,2,10.94,8.09
7.74,69.75,71.58,88.91,3.63,76.62,87.47,2,8,2.17,6.53
6.78,59.74,58.92,97.14,4.88,98.5,70.55,0,7,12.77,6.06
7.58,57.51,60.4,88.16,3.1,85.18,84.43,2,6,22.27,6.21
7.04,71.36,67.3,71,5.56,90.42,90.11,0,5,3.89,6.82
7.64,65.15,71.62,80.11,5.05,74.42,84.07,0,1,0.18,6.85
8.29,77.25,80.98,90.47,7.16,93.4,83.67,0,7,19.01,7.69
9.4,80.05,83.47,91.17,2.84,69.49,83.43,0,9,3.41,8
6.01,57.7,60.6,100,5.88,100,77.97,1,3,3.86,6.08
10,86.97,87.19,89.94,7.03,84.35,72.5,1,2,18.42,8.5
5.16,58.53,53.13,100,3.62,88.81,100,0,10,6.66,5.57
7.32,64.95,66.12,78.98,4.25,86.06,74.97,0,3,8.62,6.45
8.21,84.68,72.59,65.28,4.88,87.95,80.33,0,4,17.03,7.53
7.84,77.27,68.63,87.12,4.03,85.2,87.54,0,6,3.62,7.06
6.75,61.39,70.43,100,4.85,91.28,64.44,1,10,4.77,6.09
7.25,69.76,75.1,79.17,5.85,100,100,0,6,8.91,7.08
6.91,65.2,69.38,100,4.27,86.81,96.7,1,1,27.75,6.86
6.79,58.25,67.46,94.2,4.26,100,69.97,4,2,3.28,5.92
8.52,76.49,72.96,84,5.03,96.48,81.77,1,10,2.15,7.48
7.93,69.07,78.45,83.86,3.7,91.37,94.56,2,1,4.46,7.08
6.67,67.67,60.69,90.89,3.8,96.43,84.77,2,3,5.06,5.87
8.58,76.99,72.02,69.16,2.7,100,95,1,4,11.34,7.54
7.87,75.03,81.65,85.06,4.42,72.75,100,0,3,23.8,7.55
8.48,67.99,75.02,91.14,5.4,86.61,76.71,0,9,1.93,7.43
8.26,77.91,70.71,88.62,3.96,100,89.67,0,4,5.75,7.07
6.51,54.13,64.21,89.54,2.95,86.6,72.96,1,9,2.45,5.7
6.83,62.51,63.79,88.29,4.31,85.2,80.35,0,7,0.02,6.11
8.4,78.93,83.16,88.43,5.29,84.18,85.69,5,7,0.46,6.65
8.23,76.5,71.36,84.88,4.76,86.16,86.46,0,10,0.63,7.21
7.47,67.99,77.47,72.88,8.96,83.9,76.5,1,4,3.57,7
7.64,70.28,82.53,93.08,3.19,88.84,90.96,0,5,2.68,7.07
9.03,70.59,79.67,84.37,4.2,76.52,70.32,0,2,5.06,7.32
6.79,67.38,71.25,85.79,6.06,85.88,76.19,0,3,3.78,6.48
8.16,76.65,77.16,90.25,3.11,86.88,95.72,0,8,4.27,7.07
7.26,68.65,80.52,75.64,8.36,73.72,77.01,0,8,1.99,7
7.24,66.44,66.45,86.43,4.51,86.42,87.72,0,1,0.11,6.52
8.82,79.71,92.71,92.98,5.62,94.1,100,0,8,5.82,7.71
8.49,78.13,78.01,88.27,4.54,84.87,84.82,0,10,0.06,7.36
8.48,79,84.47,91.88,6.54,82.25,98.44,0,7,12.6,7.75
9.07,66.83,71.39,73.37,2.37,87.76,71.46,0,8,5.2,7.2
7.53,68.75,72.53,88.69,7.64,95.9,79.1,2,2,1.16,6.75
8.32,84.48,79.75,85.47,4.96,90.73,87.21,1,3,4.36,7.59
7.13,67.99,68.28,79.06,5.82,95.28,74.69,1,2,1.7,6.58
7.89,70.61,71.66,83.28,3.02,85.28,80.37,0,9,1.74,7.42
7.34,65.88,78.34,86.65,5.17,88.18,86.44,0,9,0.52,6.94
7.62,61.81,68.18,86.53,2.56,92.7,86.68,0,9,3.65,6.58
8.21,76.35,83.1,99.2,6.85,89.16,81.87,0,8,23.47,7.46
6.52,51.96,54.99,85.3,1.92,78.04,66.68,0,4,12.08,5.88
10,78.15,90.94,94.05,4.81,83.81,78.53,1,4,6.82,8.54
6.29,57.27,58.28,87.01,3.72,74.85,70.98,3,5,6.26,5.14
6.04,59.04,51.11,79.9,1.37,90.52,84.25,0,3,0.1,5.64
8.89,76.88,73,83.54,2.63,94.24,84.59,1,9,3.5,7.44
8.45,81.62,77.76,81.3,5.4,93.85,83.73,5,4,12.06,6.85
8.25,64.53,77.18,91.57,2.71,83.6,75.57,0,4,3.27,7.36
8.25,72.84,69.99,91.57,3.16,81.18,68.27,0,5,13.81,7.34
7.49,75.68,73.3,72.42,5.25,89.65,99.29,0,3,48.04,6.96
6.42,55.23,66.31,84.15,6.33,86.68,85.19,0,1,1.96,6.13
7.59,69.06,80.27,92.49,5.82,100,81.87,0,10,3.79,7
6.69,62.83,56.59,80.61,4.41,79.26,84.33,1,9,4.28,6.11
8.67,75.06,75.44,86.62,4.94,86.9,71.59,0,5,0.85,7.62
7.32,68.35,66.23,93.41,4.74,80.21,97.88,0,5,1.29,7.02
6.51,57.93,59.76,82,2.43,82.49,77.85,0,8,5,5.63
7.11,66.42,78.5,94.65,5.06,93.52,83.87,0,9,9.61,6.56
8,77.18,74.28,88.61,2.41,89.34,89.86,0,10,5.63,7.47
6.82,61.72,74.61,93.56,5.73,84.18,92.17,0,10,3.75,7.05
6.51,71.44,64.25,93.19,4.77,100,84.76,0,3,11.83,6.5
7.79,65.22,56.93,74.74,0.5,86.54,74.69,0,8,6.85,6.31
7.79,67.63,80.12,99.09,6.46,91.65,90.99,0,10,6.53,6.94
6.89,67.64,69.01,99.92,3.46,75.48,93.5,0,7,3.86,6.61
6.93,62.12,67.95,85.38,3.29,81.99,96.73,0,5,2.07,6.35
7.78,77.04,79.63,96.13,6.41,82.01,90.43,0,1,27.28,7.76
5.76,61.24,71.9,87.17,4.17,100,100,0,3,0.81,5.93
5.81,59.22,61.28,90.67,5.69,79.74,86.49,0,6,4.18,6.28
6.64,59.81,57.85,100,3.19,92.7,87,0,7,13.83,6.09
